component,explained_variance_ratio,cumulative
PC1,0.6778812510963542,0.6778812510963542
PC2,0.14095967595225276,0.818840927048607
PC3,0.10582739397680635,0.9246683210254134
PC4,0.03330025122126109,0.9579685722466745
PC5,0.025325641355989355,0.9832942136026639
PC6,0.016705786397336345,1.0000000000000002
PC7,2.8964930753476215e-32,1.0000000000000002
