group,item,segment,mean_slope,sem_slope,llama32_1b_instruct,llama32_3b_instruct,llama31_8b_instruct,qwen3_8b
Capability,Factual,"[-.2,-.1]",0.6386645662018149,0.2442502485530358,0.12923179265696996,0.6365580532408955,1.297879247868095,0.49098917104129924
Capability,Factual,"[-.1,0]",0.21915341276422606,0.18997060510995625,-0.22354437494452295,0.19222251533556628,0.7050492303959426,0.20288628026991826
Capability,Factual,"[0,.1]",-0.18102470026520562,0.13938116634741093,-0.4341354568769841,0.21425288940895637,-0.21529655498709804,-0.2889196786056966
Capability,Factual,"[.1,.2]",-0.46758776054814644,0.08037517987867272,-0.39140771474804836,-0.6326538181250315,-0.2808045456542231,-0.5654849636652827
Capability,Language,"[-.2,-.1]",0.8515299594035068,0.553968074277358,-0.0883424028901168,0.8309442800152937,2.4128565418242873,0.2506614186645632
Capability,Language,"[-.1,0]",0.03772463247409594,0.112188757633808,0.1172460401436673,0.31953669794965395,-0.1403755753049001,-0.14550863289203742
Capability,Language,"[0,.1]",-0.23772893942782186,0.10552323612017796,-0.1633831929996762,-0.2908260393770664,0.0016962282457537096,-0.4984027535802986
Capability,Language,"[.1,.2]",-0.5093965457683322,0.19970890172478745,0.006417689333751877,-0.425062222040034,-0.9220274676167888,-0.6969141827502575
Capability,Deductive,"[-.2,-.1]",0.09195154945317988,0.2730540708126712,0.14535124905284014,0.3889669245440069,-0.6924510649427597,0.5259390891586322
Capability,Deductive,"[-.1,0]",-0.013290100082696543,0.07118711854640294,-0.015289645102246762,0.1099847673182007,0.06437756606605617,-0.21223308861279627
Capability,Deductive,"[0,.1]",-0.11973652422658156,0.07389839684712367,-0.0010274142413017524,-0.10116066104977894,-0.04403362767296494,-0.3327243939422806
Capability,Deductive,"[.1,.2]",-0.400409117010037,0.08753926740355156,-0.21382417456455105,-0.37526871532621414,-0.37570056553546793,-0.6368430126139147
TRAIT,Machiavell.,"[-.2,-.1]",-0.07353000000000019,0.06614616983116517,0.017389999999999902,-0.05308000000000008,0.007929999999999882,-0.2663600000000005
TRAIT,Machiavell.,"[-.1,0]",0.022862500000000036,0.0640984742895648,0.008980000000000099,0.08570999999999995,0.14664000000000008,-0.14987999999999999
TRAIT,Machiavell.,"[0,.1]",0.1322975,0.06886718792659291,0.026699999999999776,0.2760200000000001,0.2236399999999999,0.002830000000000332
TRAIT,Machiavell.,"[.1,.2]",0.17724,0.045882985045293895,0.14154,0.2906399999999998,0.20207000000000025,0.07471000000000004
TRAIT,Openness,"[-.2,-.1]",0.09967999999999991,0.01316918625681439,0.09243999999999973,0.12468000000000035,0.11575999999999974,0.06583999999999977
TRAIT,Openness,"[-.1,0]",0.08959749999999987,0.03628576474206745,0.06462999999999997,0.11760999999999966,0.17288999999999993,0.0032599999999999296
TRAIT,Openness,"[0,.1]",0.11070000000000008,0.031155020194718858,0.09187,0.16576000000000032,0.1542500000000002,0.030919999999999837
TRAIT,Openness,"[.1,.2]",0.06988250000000001,0.06383089826186579,0.20100000000000007,0.1535799999999998,-0.009040000000000159,-0.06600999999999968
TRAIT,Narcissism,"[-.2,-.1]",-0.1475525000000001,0.05250729066440834,-0.12259000000000017,-0.04814000000000012,-0.12359000000000007,-0.29589
TRAIT,Narcissism,"[-.1,0]",-0.07205749999999989,0.02552575802824799,-0.11406999999999999,-0.005719999999999891,-0.05816999999999988,-0.11026999999999978
TRAIT,Narcissism,"[0,.1]",-0.03507249999999996,0.028901294196800244,-0.051829999999999925,0.04471000000000002,-0.04020999999999997,-0.09295999999999996
TRAIT,Narcissism,"[.1,.2]",0.0591574999999999,0.07071226171075279,0.08290999999999991,0.19666999999999987,0.0958399999999998,-0.13879
TRAIT,Agreeableness,"[-.2,-.1]",0.08784500000000028,0.024147654993118096,0.07306000000000035,0.06935000000000023,0.05025000000000056,0.15871999999999997
TRAIT,Agreeableness,"[-.1,0]",0.047497499999999686,0.02727962468430715,0.002849999999999797,0.03214999999999967,0.1269999999999993,0.027989999999999952
TRAIT,Agreeableness,"[0,.1]",-0.008745000000000006,0.036604074112954604,-0.05085000000000006,-0.07796000000000024,0.08765000000000021,0.0061800000000000735
TRAIT,Agreeableness,"[.1,.2]",-0.12113750000000006,0.03325075397014826,-0.1349200000000006,-0.16913999999999985,-0.023670000000000083,-0.1568199999999997
TRAIT,Psychopathy,"[-.2,-.1]",-0.04138249999999996,0.0315931122174333,-0.12290999999999996,0.03086000000000005,-0.030880000000000074,-0.04259999999999985
TRAIT,Psychopathy,"[-.1,0]",-0.09246000000000004,0.03815928982567681,-0.11720000000000007,-0.062480000000000036,-0.005779999999999951,-0.18438000000000007
TRAIT,Psychopathy,"[0,.1]",0.019575000000000006,0.03967007068727421,-0.09268999999999998,0.08284999999999985,0.02086000000000004,0.0672800000000001
TRAIT,Psychopathy,"[.1,.2]",0.07002999999999993,0.07888044698571803,0.014270000000000116,0.24844000000000002,0.13559999999999986,-0.11819000000000023
TRAIT,Neuroticism,"[-.2,-.1]",-0.07821749999999988,0.052206729830389965,-0.0801799999999997,-0.0702999999999998,-0.2089099999999999,0.04651999999999989
TRAIT,Neuroticism,"[-.1,0]",-0.009347499999999984,0.025765245769899657,-0.034140000000000274,-0.0557599999999997,0.06274,-0.010229999999999961
TRAIT,Neuroticism,"[0,.1]",0.005357500000000008,0.054141947135131166,0.03877999999999992,-0.02184000000000019,0.13128000000000026,-0.12678999999999996
TRAIT,Neuroticism,"[.1,.2]",0.11741999999999986,0.07416494365039775,0.14468000000000034,0.0908399999999998,0.2967399999999997,-0.06258000000000039
TRAIT,Conscientious.,"[-.2,-.1]",0.10795749999999993,0.031367640537927996,0.013940000000000062,0.14159999999999948,0.13554999999999984,0.14074000000000028
TRAIT,Conscientious.,"[-.1,0]",0.05340250000000018,0.04007745675043937,0.039540000000000124,0.028980000000000665,-0.021670000000000293,0.1667600000000002
TRAIT,Conscientious.,"[0,.1]",-0.007079999999999866,0.020344975628723082,-0.04704999999999959,-0.03383000000000025,0.04091000000000067,0.01164999999999971
TRAIT,Conscientious.,"[.1,.2]",-0.0234425000000002,0.05232647662751607,-0.058650000000000084,-0.12587000000000012,-0.03095999999999988,0.12170999999999929
TRAIT,Extraversion,"[-.2,-.1]",-0.009432500000000066,0.06920335015674217,0.04917000000000004,0.10332999999999978,0.020290000000000027,-0.21052000000000012
TRAIT,Extraversion,"[-.1,0]",0.0010000000000000321,0.023229902066087157,-0.021849999999999918,0.062200000000000026,0.008960000000000077,-0.04531000000000006
TRAIT,Extraversion,"[0,.1]",0.032645000000000035,0.03505284451129943,0.06954999999999988,0.060209999999999986,-0.07220000000000003,0.07302000000000029
TRAIT,Extraversion,"[.1,.2]",0.07569500000000004,0.06875806819324318,0.14699000000000015,0.23427000000000026,-0.04568000000000017,-0.032800000000000044
