model,baseline_random_pair_kl_mean,baseline_random_pair_kl_std,baseline_random_pair_kl_pairs,KL(P_alpha||P_0) alpha=-0.2,KL(P_alpha||P_0) alpha=0.2
llama32_1b_instruct,9.621027156710625,4.005509890034484,2048,0.1989513939188327,0.4474328401265666
llama32_3b_instruct,10.01279492676258,4.046144474029329,2048,0.4102982202311978,0.6992516430327669
llama31_8b_instruct,11.24422787129879,4.607536884669749,2048,0.4337427250866312,0.499996375729097
qwen3_8b,12.89565946161747,5.894364305070616,2048,0.3232537180010695,0.3330243973177857
