model,layer,projection,alpha,aggregate,n_matrices,gini_base_mean,gini_alpha_mean,delta_gini_mean,delta_gini_max,top_sv_rel_mean,top_sv_rel_max,top_sv_abs_delta_mean,top_sv_abs_delta_max,top_to_geomean_base_mean,top_to_geomean_base_max
llama31_8b_instruct,0,down_proj,-0.2,dense,1,0.1797213852405548,0.14465393126010895,-0.03506745398044586,-0.03506745398044586,0.7152885783514455,0.7152885783514455,-1.9237895011901855,-1.9237895011901855,5.34064305376338,5.34064305376338
llama31_8b_instruct,0,down_proj,-0.15,dense,1,0.1797213852405548,0.15346522629261017,-0.02625615894794464,-0.02625615894794464,0.7777875242185921,0.7777875242185921,-1.5014853477478027,-1.5014853477478027,5.34064305376338,5.34064305376338
llama31_8b_instruct,0,down_proj,-0.1,dense,1,0.1797213852405548,0.16224703192710876,-0.017474353313446045,-0.017474353313446045,0.8457473546117034,0.8457473546117034,-1.0422821044921875,-1.0422821044921875,5.34064305376338,5.34064305376338
llama31_8b_instruct,0,down_proj,-0.05,dense,1,0.1797213852405548,0.17099909484386444,-0.008722290396690369,-0.008722290396690369,0.9196452609186111,0.9196452609186111,-0.5429553985595703,-0.5429553985595703,5.34064305376338,5.34064305376338
llama31_8b_instruct,0,down_proj,0.0,dense,1,0.1797213852405548,0.1797213852405548,0.0,0.0,1.0,1.0,0.0,0.0,5.34064305376338,5.34064305376338
llama31_8b_instruct,0,down_proj,0.05,dense,1,0.1797213852405548,0.1884137988090515,0.008692413568496704,0.008692413568496704,1.0873758460849594,1.0873758460849594,0.5903968811035156,0.5903968811035156,5.34064305376338,5.34064305376338
llama31_8b_instruct,0,down_proj,0.1,dense,1,0.1797213852405548,0.19707638025283813,0.017354995012283325,0.017354995012283325,1.1823861898187173,1.1823861898187173,1.2323799133300781,1.2323799133300781,5.34064305376338,5.34064305376338
llama31_8b_instruct,0,down_proj,0.15,dense,1,0.1797213852405548,0.20570909976959229,0.025987714529037476,0.025987714529037476,1.2856982664233898,1.2856982664233898,1.930457592010498,1.930457592010498,5.34064305376338,5.34064305376338
llama31_8b_instruct,0,down_proj,0.2,dense,1,0.1797213852405548,0.21431215107440948,0.034590765833854675,0.034590765833854675,1.398037107593532,1.398037107593532,2.6895289421081543,2.6895289421081543,5.34064305376338,5.34064305376338
llama31_8b_instruct,0,up_proj,-0.2,dense,1,0.18657641112804413,0.15022721886634827,-0.03634919226169586,-0.03634919226169586,0.7400244824545792,0.7400244824545792,-1.4655685424804688,-1.4655685424804688,4.5057768365713455,4.5057768365713455
llama31_8b_instruct,0,up_proj,-0.15,dense,1,0.18657641112804413,0.15936033427715302,-0.027216076850891113,-0.027216076850891113,0.7978744316693881,0.7978744316693881,-1.139449119567871,-1.139449119567871,4.5057768365713455,4.5057768365713455
llama31_8b_instruct,0,up_proj,-0.1,dense,1,0.18657641112804413,0.16846294701099396,-0.01811346411705017,-0.01811346411705017,0.8602467497139316,0.8602467497139316,-0.7878355979919434,-0.7878355979919434,4.5057768365713455,4.5057768365713455
llama31_8b_instruct,0,up_proj,-0.05,dense,1,0.18657641112804413,0.17753498256206512,-0.009041428565979004,-0.009041428565979004,0.9274949197891721,0.9274949197891721,-0.4087352752685547,-0.4087352752685547,4.5057768365713455,4.5057768365713455
llama31_8b_instruct,0,up_proj,0.0,dense,1,0.18657641112804413,0.18657641112804413,0.0,0.0,1.000000084585595,1.000000084585595,4.76837158203125e-07,4.76837158203125e-07,4.5057768365713455,4.5057768365713455
llama31_8b_instruct,0,up_proj,0.05,dense,1,0.18657641112804413,0.1955871433019638,0.009010732173919678,0.009010732173919678,1.0781731609230791,1.0781731609230791,0.4406881332397461,0.4406881332397461,4.5057768365713455,4.5057768365713455
llama31_8b_instruct,0,up_proj,0.1,dense,1,0.18657641112804413,0.20456711947917938,0.017990708351135254,0.017990708351135254,1.16245729273315,1.16245729273315,0.9158258438110352,0.9158258438110352,4.5057768365713455,4.5057768365713455
llama31_8b_instruct,0,up_proj,0.15,dense,1,0.18657641112804413,0.21351628005504608,0.026939868927001953,0.026939868927001953,1.2533301348700394,1.2533301348700394,1.4281063079833984,1.4281063079833984,4.5057768365713455,4.5057768365713455
llama31_8b_instruct,0,up_proj,0.2,dense,1,0.18657641112804413,0.2224346101284027,0.03585819900035858,0.03585819900035858,1.3513068981921013,1.3513068981921013,1.9804339408874512,1.9804339408874512,4.5057768365713455,4.5057768365713455
llama31_8b_instruct,1,down_proj,-0.2,dense,1,0.17121510207653046,0.13840679824352264,-0.03280830383300781,-0.03280830383300781,0.7607495119132208,0.7607495119132208,-1.2216804027557373,-1.2216804027557373,3.92456374033555,3.92456374033555
llama31_8b_instruct,1,down_proj,-0.15,dense,1,0.17121510207653046,0.14668172597885132,-0.024533376097679138,-0.024533376097679138,0.8145753960186761,0.8145753960186761,-0.9468302726745605,-0.9468302726745605,3.92456374033555,3.92456374033555
llama31_8b_instruct,1,down_proj,-0.1,dense,1,0.17121510207653046,0.15490838885307312,-0.016306713223457336,-0.016306713223457336,0.872209556966523,0.872209556966523,-0.652534008026123,-0.652534008026123,3.92456374033555,3.92456374033555
llama31_8b_instruct,1,down_proj,-0.05,dense,1,0.17121510207653046,0.16308633983135223,-0.008128762245178223,-0.008128762245178223,0.9339216366135448,0.9339216366135448,-0.3374147415161133,-0.3374147415161133,3.92456374033555,3.92456374033555
llama31_8b_instruct,1,down_proj,0.0,dense,1,0.17121510207653046,0.17121510207653046,0.0,0.0,1.0,1.0,0.0,0.0,3.92456374033555,3.92456374033555
llama31_8b_instruct,1,down_proj,0.05,dense,1,0.17121510207653046,0.17929430305957794,0.008079200983047485,0.008079200983047485,1.0707535563076165,1.0707535563076165,0.36128759384155273,0.36128759384155273,3.92456374033555,3.92456374033555
llama31_8b_instruct,1,down_proj,0.1,dense,1,0.17121510207653046,0.18732355535030365,0.016108453273773193,0.016108453273773193,1.146513439743893,1.146513439743893,0.7481389045715332,0.7481389045715332,3.92456374033555,3.92456374033555
llama31_8b_instruct,1,down_proj,0.15,dense,1,0.17121510207653046,0.19530262053012848,0.024087518453598022,0.024087518453598022,1.227633383071945,1.227633383071945,1.1623601913452148,1.1623601913452148,3.92456374033555,3.92456374033555
llama31_8b_instruct,1,down_proj,0.2,dense,1,0.17121510207653046,0.2032310664653778,0.03201596438884735,0.03201596438884735,1.3144929859966463,1.3144929859966463,1.6058897972106934,1.6058897972106934,3.92456374033555,3.92456374033555
llama31_8b_instruct,1,up_proj,-0.2,dense,1,0.1950879544019699,0.1575646549463272,-0.0375232994556427,-0.0375232994556427,0.8142716221508366,0.8142716221508366,-0.6580781936645508,-0.6580781936645508,2.7935313385938074,2.7935313385938074
llama31_8b_instruct,1,up_proj,-0.15,dense,1,0.1950879544019699,0.1670251190662384,-0.028062835335731506,-0.028062835335731506,0.8571897091656361,0.8571897091656361,-0.506009578704834,-0.506009578704834,2.7935313385938074,2.7935313385938074
llama31_8b_instruct,1,up_proj,-0.1,dense,1,0.1950879544019699,0.17643320560455322,-0.018654748797416687,-0.018654748797416687,0.902370035622533,0.902370035622533,-0.34592533111572266,-0.34592533111572266,2.7935313385938074,2.7935313385938074
llama31_8b_instruct,1,up_proj,-0.05,dense,1,0.1950879544019699,0.1857878565788269,-0.009300097823143005,-0.009300097823143005,0.9499315003048169,0.9499315003048169,-0.17740416526794434,-0.17740416526794434,2.7935313385938074,2.7935313385938074
llama31_8b_instruct,1,up_proj,0.0,dense,1,0.1950879544019699,0.1950879544019699,0.0,0.0,1.0,1.0,0.0,0.0,2.7935313385938074,2.7935313385938074
llama31_8b_instruct,1,up_proj,0.05,dense,1,0.1950879544019699,0.20433247089385986,0.009244516491889954,0.009244516491889954,1.0527074874607876,1.0527074874607876,0.18675470352172852,0.18675470352172852,2.7935313385938074,2.7935313385938074
llama31_8b_instruct,1,up_proj,0.1,dense,1,0.1950879544019699,0.21352042257785797,0.01843246817588806,0.01843246817588806,1.108192846155606,1.108192846155606,0.38335204124450684,0.38335204124450684,2.7935313385938074,2.7935313385938074
llama31_8b_instruct,1,up_proj,0.15,dense,1,0.1950879544019699,0.22265073657035828,0.027562782168388367,0.027562782168388367,1.1666028323076323,1.1666028323076323,0.5903120040893555,0.5903120040893555,2.7935313385938074,2.7935313385938074
llama31_8b_instruct,1,up_proj,0.2,dense,1,0.1950879544019699,0.23172248899936676,0.03663453459739685,0.03663453459739685,1.2280914692982752,1.2280914692982752,0.8081803321838379,0.8081803321838379,2.7935313385938074,2.7935313385938074
llama31_8b_instruct,2,down_proj,-0.2,dense,1,0.1913694590330124,0.15428562462329865,-0.037083834409713745,-0.037083834409713745,0.7580498797324663,0.7580498797324663,-1.230426549911499,-1.230426549911499,3.994947960660994,3.994947960660994
llama31_8b_instruct,2,down_proj,-0.15,dense,1,0.1913694590330124,0.16362322866916656,-0.027746230363845825,-0.027746230363845825,0.8124063698989206,0.8124063698989206,-0.9539990425109863,-0.9539990425109863,3.994947960660994,3.994947960660994
llama31_8b_instruct,2,down_proj,-0.1,dense,1,0.1913694590330124,0.17291711270809174,-0.018452346324920654,-0.018452346324920654,0.8706606195815029,0.8706606195815029,-0.6577496528625488,-0.6577496528625488,3.994947960660994,3.994947960660994
llama31_8b_instruct,2,down_proj,-0.05,dense,1,0.1913694590330124,0.182166188955307,-0.009203270077705383,-0.009203270077705383,0.9330920012643258,0.9330920012643258,-0.3402576446533203,-0.3402576446533203,3.994947960660994,3.994947960660994
